"","st","countyid","county_name","fcc_broadband","usage"
"2001","ND","8021","Dickey County","0.9977","0.78"
"2002","ND","8023","Divide County","0.9594","0.243"
"2003","ND","8025","Dunn County","0.9821","0.623"
"2004","ND","8027","Eddy County","1","0.36"
"2005","ND","8029","Emmons County","1","0.522"
"2006","ND","8031","Foster County","1","0.611"
"2007","ND","8033","Golden Valley County","0.607","0.256"
"2008","ND","8035","Grand Forks County","0.9875","0.68"
"2009","ND","8037","Grant County","0.9653","0.396"
"2010","ND","8039","Griggs County","0.9561","0.739"
"2011","ND","8041","Hettinger County","1","0.366"
"2012","ND","8043","Kidder County","1","0.45"
"2013","ND","8045","LaMoure County","1","0.521"
"2014","ND","8047","Logan County","1","0.519"
"2015","ND","8049","McHenry County","0.9993","0.149"
"2016","ND","8051","McIntosh County","1","0.402"
"2017","ND","8053","McKenzie County","0.7279","0.878"
"2018","ND","8055","McLean County","0.9179","0.378"
"2019","ND","8057","Mercer County","0.9987","0.746"
"2020","ND","8059","Morton County","0.9692","0.314"
"2021","ND","8061","Mountrail County","0.8628","0.791"
"2022","ND","8063","Nelson County","1","0.278"
"2023","ND","8065","Oliver County","0.9974","0.692"
"2024","ND","8067","Pembina County","1","0.469"
"2025","ND","8069","Pierce County","1","0.361"
"2026","ND","8071","Ramsey County","1","0.485"
"2027","ND","8073","Ransom County","0.9937","0.571"
"2028","ND","8075","Renville County","0.9875","0.339"
"2029","ND","8077","Richland County","0.9976","0.616"
"2030","ND","8079","Rolette County","0.9891","0.5"
"2031","ND","8081","Sargent County","0.9997","0.596"
"2032","ND","8083","Sheridan County","0.9977","0.164"
"2033","ND","8085","Sioux County","0.9667","0.305"
"2034","ND","8087","Slope County","0.9827","0.333"
"2035","ND","8089","Stark County","0.9806","0.517"
"2036","ND","8091","Steele County","0.9598","0.283"
"2037","ND","8093","Stutsman County","0.9803","0.661"
"2038","ND","8095","Towner County","0.8693","0.314"
"2039","ND","8097","Traill County","0.9798","0.259"
"2040","ND","8099","Walsh County","0.9768","0.411"
"2041","ND","8101","Ward County","0.9762","0.697"
"2042","ND","8103","Wells County","1","0.388"
"2043","ND","8105","Williams County","0.9484","0.747"
"2044","OH","9001","Adams County","0.7436","0.167"
"2045","OH","9003","Allen County","0.9839","0.559"
"2046","OH","9005","Ashland County","1","0.641"
"2047","OH","9007","Ashtabula County","0.9315","0.461"
